name,company,location,url,text,python,r,sql,excel,nlp,sas,spark,java,tableau,c++,matlab,nosql,qlikview,hadoop,scala,shiny,powerbi,caffe,tensorflow,c#,cassandra,pig,hive,mapreduce,ruby,perl,machine learning techniques,neural networks,big data,predictive modeling,random forests,deep learning,statistical modeling,data mining,data visualization,natural language processing,business intelligence
Junior Data Analyst," BRIGHTERBOX – Londres, Angleterre","Londres, Angleterre",https://www.glassdoor.fr/partner/jobListing.htm?pos=201&ao=230671&s=58&guid=000001661ae9cb759e68c2f042c72caa&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d3f19e82&cb=1538049821789&jobListingId=2962553548," This award-winning tech start up have doubled in business each year for the last 5 years and need a junior data analyst who can help them analyse and report on the great work their team are doing week on week. They work on behalf of a number of well-known brands to connect them with their customers in two way conversations. Using live chat, they provide the world's leading outsourced service and consulting programmes to help customers capture more of their traffic into leads. Key Responsibilities include:The creation of periodic reports on chat performance for clients and internal stakeholdersForecasting, resource management analysis, and other internal operations reportingWorking on developing improvements in strategy, tools, and processesProactive customer engagement strategy creation and analysisEssential SkillsExcel skills (including pivot tables)Eye for detailAble to make suggestions and work with others to implement those suggestionsAble to take responsibility for projects and incorporate new processes into the businessDesirable Skills:SQL / Microsoft App Insights / PythonStatistical modelling experienceExperience with split testingExperience developing tools for other peopleExperience with CRM, database, and data modelling softwareKnowledge of data protection / GDPRProject management experienceExcellent written and verbal communication skills Note: This role is based in Brentford!",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst," THE GLOBAL SEARCH COMPANY LIMITED – Londres, Angleterre","Londres, Angleterre",https://www.glassdoor.fr/partner/jobListing.htm?pos=202&ao=230671&s=58&guid=000001661ae9cb759e68c2f042c72caa&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_31bee185&cb=1538049821791&jobListingId=2951548439," Leading digital marketing company currently looking for a commercial, data-savvy Data Analyst to join the Digital Marketing & CRM team.  The successful candidate will have a pivotal relationship with the Data and Insight team to help build out a 360º understanding of customers. The roleInterrogate mobile, web and digital analytics to identify insights and opportunities to improve overall digital trading performance and customer engagementProvide measurement and reporting on digital marketing campaign activity and where required, conduct ad-hoc analysis to troubleshoot campaign performance issuesDesign and maintain visual dashboards for daily, weekly and monthly reportingOwning core weekly trading reports, ensuring accuracy of information to present to key stakeholders and adding insightful commentary to the reportsScoping and overseeing technical tag implementations, measurement URLs, and parameters to ensure campaigns and events are properly trackedMonitor evolving business requirements, identifying and assessing appropriate digital analytics toolsImprove efficiencies and automate analysis to ensure focus is on new value-add analysisThe Ideal candidate will be -Highly analytical and resourceful, with the ability to collate, analyse, present, execute and follow upSelf-starter, energetic, comfortable in a fast-paced, commercial and complex environmentAbility to influence and challenge, and to work constructively with colleagues from diverse disciplinesExperience of working in ecommerce or a digital businessEnjoys problem solving with high degree of initiative and self-motivationIncredibly customer focused and curious, obsessed with deeply understanding customer behavioursExperience in advanced Excel, SQLExcellent knowledge of analytics software such as Google Analytics, Google Tag Manager Flurry and LocalyticsComfortable presenting information to a wide range of stakeholdersKnowledge of technical SEO (Desirable)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist," The Royal Bank of Scotland – Londres, Angleterre","Londres, Angleterre",https://www.glassdoor.fr/partner/jobListing.htm?pos=203&ao=6607&s=58&guid=000001661ae9cb759e68c2f042c72caa&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b1ec696a&cb=1538049821792&jobListingId=2829746409,"The BusinessWe're hiring Data Scientists to join us in London and EdinburghThis is an opportunity for talented data scientists to join a new team supporting Commercial and Private Banking (CPB) business, directly supporting the innovation and AI stakeholdersYou'll select and develop new techniques for solving complex data related problemsYou’ll not only apply techniques but also showcase them to stakeholders, and work to implement through to final solutionsIt's a chance to grow your own abilities as you help to the team, bringing an innovative and passionate approach to data science which benefits our businessWhat you'll do We'll look to you to support us in developing new insights from data assets using advanced data science techniques. You’ll understand current business problems, and proactively show how we can solve these using data led solutions, along with being able to understand how solutions could be implemented. You’ll be expected to work in agile way in a project environment, along with a cross functional team.  You'll also play a key role in supporting more junior members of the team with technical delivery. The skills you'll need We're looking for someone with leadership experience, a strong background in technical roles, and good communication skills. You'll also have spent some time in industry, and will have experience of operating effectively in a professional environment. You'll have studied to masters degree level in a relevant discipline – such as Data Science, Statistics, AI, Computer Science or similar – or will have the equivalent knowledge developed through training or professional experience  We'll also expect: Excellent experience of data science techniques, including the pragmatic implementation of machine learning, artificial intelligence and multi-variant analysis techniquesExperience with data visualisation tools, such as D3.js, Tableau, and PowerBIExperience of cloud services, such as Azure, and Amazon Web ServicesExperience of the tools used to deploy advanced techniques – including some of R, Impala, SAS, Python and Spark – in a structured and unstructured data environmentThe ability to manage a portfolio of technically complex opportunities simultaneouslyHow we'll reward you In return, we offer a competitive salary plus 30% cash and benefit funding programme that can be tailored to suit your individual needs. In addition, we provide a wide selection of exclusive lifestyle offers, development and learning programmes, services and support designed to help you manage and balance your work/life priorities.  Visit our reward and benefits page for more information on the benefit packages we offer. Inclusion At RBS, we want everyone to feel welcome, regardless of your background or needs. If you need adjustments making to your working environment, we’ll do everything we can to support you. As part of this commitment, we offer flexible working options for some of our roles - find out more.  As a Financial Services organisation we comply with and support the requirements set by our Regulator, the Financial Conduct Authority (FCA), which are designed to protect our customers. This role falls under Conduct Rules of the Individual Accountability Regime (IAR) and is subject to pre-employment screening. This means if your application is successful, you’ll need to satisfy some important background checks before you can start working with us. These will include a full credit check, a criminal record check, residency and right to work checks.",1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst," Opus Recruitment Solutions Ltd – Londres, Angleterre","Londres, Angleterre",https://www.glassdoor.fr/partner/jobListing.htm?pos=204&ao=230671&s=58&guid=000001661ae9cb759e68c2f042c72caa&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_913bde67&cb=1538049821793&jobListingId=2960786736," Senior Data Analyst- London  Salary: Competitive salary  My Client is a fastest growing data-driven entertainment company and are looking for an experienced and ambitious Senior Digital Data Analyst. They are looking for a Data Analyst that can contribute to the long-term business strategy and can work well with performance analytics. Responsibilities:Work with Stakeholders on daily basis aimed at performance target hittingMonitoring industry data to identify trendsMonitoring the performance of e-commerce and affiliated revenue channels, and key KIPsAssist in the preparation of marketing performance reportsOwn key data platforms, including google analyticsSkills and Qualification:Familiarity with Search Engine optimisationAdvanced Microsoft excel skillsAdvanced Google analytics skillsExtensive experience with data visualisation, Tableau/ QlikView/ Google Data Studio2.1 degree qualificationPrevious experience working with GDPR If you are passionate about your field and want to work in a progressive, fun and down-to-earth organisation; please apply to [1] or call for a confidential conversation. Links:----- [1] file://opuss03/Users$/andrew.comyn/My%20Documents/Jobs/beano-%20Senior%20Data%20Analyst-%202309/%20",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst," EY – Londres, Angleterre","Londres, Angleterre",https://www.glassdoor.fr/partner/jobListing.htm?pos=205&ao=366450&s=58&guid=000001661ae9cb759e68c2f042c72caa&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5b565ada&cb=1538049821794&jobListingId=2955187551,"Our indirect tax professionals work with clients to help improve the operational aspects of indirect tax/VAT compliance through the use of technology. Through a combination of strong technical knowledge, a deep understanding of key industry issues and access to advanced tax technology tools and methodologies we deliver cutting edge technology solution to our clients helping them improve their compliance functions and day to day reporting requirements. The opportunityWe are looking to grow our successful team by bringing on board an additional analyst/programmer who will take a role in delivering these technology solutions. You will play an integral role in driving solutions for a growing collection of key clients through technology. This is an innovative and growing area of Tax in a team looking to lead the industry.As an Indirect tax data analyst/programmer you will be responsible for designing, building and implementing technology related tools and technology rich engagements to our clients.You will be working as part of a multi skilled team of indirect tax professionals specialising in indirect tax issues associated with financial accounting systems, compliance processes, controls, reporting solutions and other technology related projects.You will have a particular focus on building technology tools in the area of indirect tax compliance and operational management, but also have exposure and opportunity to work in other indirect tax aspects of financial accounting systems.Your key responsibilitiesWorking closely with the indirect tax specialists in our team your responsibilities will be to build the tools that are needed, support and maintain these on an ongoing basis.You will also play a role in the understanding of requirements and designing the tools for our clients working closely with other members of the team.You will have opportunity, supported by other members of the team, to attend client meetings to consult on what the client’s need are, documenting and analysing these, helping to innovate solutions.Taking the lead on actual building of indirect tax reporting technology tools for the preparation of VAT returns, data analysis and supply chain mapping projects in the UK and globally.After initial technical training you will be expected to work independently and manage your time and workload accordingly.The role is based in Leeds but does involve travel around the UK and overseas, both in and outside of Europe.Develop experience and skills to perform similar roles in projects, such as consulting on the VAT setup of financial accounting systems.Skills and attributes for successA proven track record of being able to build end user computing technology solutions.Business analyst/consulting skills with a “needs based” client centric attitude.A preference for exposure and appreciation of the complexities involved with working in finance and indirect tax compliance. An understanding of basic financial accounting and/or indirect tax would be an advantage.Confident, flexible and self-motivated, with excellent interpersonal skillsTo qualify for the role you must haveExperienced Data AnalystOur technology tools are end user computer tools, by this we mean that they are primarily built in commercial software applications, not coded from the ground up. Therefore deep skills in the following technologies are required (in order of preference):QlikView (mandatory)MS Office & Visual Basic Marcos (mandatory)Tableau, IDEA, SQL (preferable)Spotfire, Oracle, SAP, Business Objects (optional)Ideally, you’ll also haveProject management skills, plan and prioritize work, meet deadlines, monitor own budget What we look forTeam player; ability to integrate with new teams quickly Outgoing with good relationship skills and the ability to deliver quality output What working at EY offers We offer a competitive remuneration package where you’ll be rewarded for your individual and team performance. Our comprehensive Total Rewards package includes support for flexible working and career development, and with FlexEY you can select benefits that suit your needs, covering holidays, health and well-being, insurance, savings and a wide range of discounts, offers and promotions. Plus, we offer:Support and coaching from some of the most engaging colleagues aroundOpportunities to develop new skills and progress your careerThe freedom and flexibility to handle your role in a way that’s right for youEY is committed to being an inclusive employer and we are happy to consider flexible working arrangements. We strive to achieve the right balance for our people, enabling us to deliver excellent client service whilst allowing you to build your career without sacrificing your personal priorities. While our client-facing professionals can be required to travel regularly, and at times be based at client sites, our flexible working arrangements can help you to achieve a lifestyle balance.About EYAs a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.Apply now.Who we areEY is committed to being an inclusive employer and we are happy to consider flexible working arrangements. We strive to achieve the right balance for our people, enabling us to deliver excellent client service whilst allowing you to build your career without sacrificing your personal priorities. While our client-facing professionals can be required to travel regularly, and at times be based at client sites, our flexible working arrangements can help you to achieve a lifestyle balance. ",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst," Schroders – Londres, Angleterre","Londres, Angleterre",https://www.glassdoor.fr/partner/jobListing.htm?pos=206&ao=254268&s=58&guid=000001661ae9cb759e68c2f042c72caa&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0af45b70&cb=1538049821795&jobListingId=2906555933,"Data Science in SchrodersThe Data Insights Unit (DIU)'s mission is to bring scientific rigour to all business decisions in Schroders. In essence we do this by:making available new data sources,unlocking the value in data by providing a research service, answering business questions by analysing these datasets,scaling the value in data by building Insight Products: generalising those analyses or anticipating those questions by alerting people to relevant changes before they know to ask.Throughout all these we are using specialist Data Science tools and techniques including Big Data technologies, Intelligence Augmentation and Artificial Intelligence techniques, and insights from the world of Behavioural Science.The quantity of information available for investment research purposes is increasing at such a rate that traditional industry practices and skillsets are unable to absorb and process it. Global trends in digitalisation, social media, open data and technology are all creating vast streams of alternative data that are often highly unstructured and obscure. However, they contain valuable and often unique insights. The Data Insights team aims to find these new and potentially unorthodox datasets, extract the rich, hidden information they contain and use their expertise to enhance traditional fundamental research.Overview of roleThe Data Insights Unit (DIU) is a team of over 25 data scientists and engineers who support investors throughout Schroders, and has been instrumental in deploying modern data science technologies and methods throughout the firm.Data is the lifeblood of business decisions throughout Schroders, and there is a need for data scientists, data engineers and information visualisation experts to sit directly embedded in business teams throughout Schroders supporting evidence based decision making.The opportunity exists for a data professional reporting directly to the Sustainability team, and as an associate member of DIU. The successful applicant will act as the Sustainability team's data subject matter expert. They will collaborate with the Sustainability team members to understand their needs, and propose, implement and maintain data-driven tools to support evidence based decision making.As an associate member of the DIU the applicant will participate in data science knowledge sharing, and both contribute to and draw upon the expertise of the broader Schroders community of data professionals.The applicant will have a strong preference towards working in reproducible data workflow tools such as Jupyter and RMarkdown, but won't be afraid of interacting with complex Excel/VBA models and other legacy data systems. The applicant will take pleasure from finding simple solutions to complex problems.Previous experience in the investment industry would be valuable, but is not required if the applicant can demonstrate a passion for understanding how businesses and markets operate.The role will sit with the Sustainability team and be accountable to them for their project priorities and daily workflow, which may include a mix of engineering, analytical and visualisation tasks. The role will also have a data science coach assigned from the central DIU team, both to ensure they remain connected to larger data initiatives and to ensure they receive the career development support they need.In general it is anticipated that you will be given the opportunity to rotate across to embed in another business team or move into the central DIU function after 2 years embedded in the Sustainability team as part of your ongoing development as a Data Professional.About the Sustainability teamSince we first began to formally consider environmental, social and governance (ESG) factors in our investment processes two decades ago, the scale, breadth and complexity of the Sustainability team's work have has expanded significantly. As the volume of information reported by companies has expanded and analysis of other sources has become possible, our analysis has become increasingly data intensive.The Sustainability team has expanded to 13 people, covering a wide range of activities from thematic research, company analysis, portfolio monitoring, screening, corporate governance actions, client communication and marketing and discussions with policy makers and other stakeholders.Our primary role is to work with analyst and fund manager colleagues to strengthen investment decisions through effective analysis and integration of ESG issues in investment processes.We have developed proprietary tools to provide differentiated information on the roughly 10,000 companies Schroders analysts cover globally. Sourcing, managing, filtering and applying that information in ways that can provide us with distinctive investment insights has become a key role in the Sustainability team. As we have grown, we have developed a growing number of data tools; understanding those tools and whether and how how they can be best integrated into an over-arching data infrastructure is an important element of the role.Within the Sustainability team the role will report to the Head of Sustainability Research.ResponsibilitiesAct as the Sustainability team's advisor and subject matter expert on data science, data engineering, and information visualisation. Act as a bridge to the central DIU where necessary to leverage the expertise of the wider data science community at Schroders when providing this advice.Develop and maintain data pipelines, analyses, and visualisation tools to support evidence-driven decision making in the Sustainability team.Consume, understand, and distribute work from the central DIU that is of interest to the Sustainability team. Providing bespoke analysis and interpretation where needed and/or collaborating with the central DIU team to improve the utility of these tools.Make sure the Sustainability team has ""a voice in the room"" in centralised projects where they should be considered a key stakeholder, and advocate for projects that would benefit that team.Initially, integrate yourself into Sustainability processes, attend their meetings, read the research and develop a good understanding of the research and investment process. Then build up an understanding of the wider business that the team is connected to.Skills / Experience - EssentialETL / Data Pipelining / Data Engineering skillsStatistical analysis and interpretationCreating clear and effective visual displays of dataInfluencing senior business stakeholdersCreative thinkingCommercial focusPragmatic, action-orientedProgramming experience in R or python.SQLSkills / Experience - UsefulR {Tidyverse, Rmarkdown, Shiny}Python {numpy, pandas, requests, selenium}Linux experience and shell scripting.Relevant degree subject (e.g. Statistics, OR, Data Science, any Science)Meaningful data modelling experience using SQL-based Data WarehousesBig data experience such as Hive.Asset Management / Investment practices",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst," G-Research – Londres, Angleterre","Londres, Angleterre",https://www.glassdoor.fr/partner/jobListing.htm?pos=207&ao=273397&s=58&guid=000001661ae9cb759e68c2f042c72caa&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1e313b62&cb=1538049821796&jobListingId=2909374873,"Imagine introducing the next generation of technology to a platform in real-time. G-Research is a leading quantitative research and technology company. By using the latest scientific techniques, we produce world-beating predictive research and build advanced technology to analyse the world's data.  We are developing the next generation of infrastructure that can effortlessly scale and flex. This capability allows us to adapt to the demanding needs of the business to process and analyse large and varied data sets at speed. The Role G-Research is going through an exciting period of growth and as a result is looking for a Junior Data Analyst to join the Production Analytics team. Reporting to the Production Chief of Staff, you will help us analyse and report on the operations and services of the division. This is a great opportunity for an enthusiastic, data driven individual to identify, transform and visualise data, to provide useful insights and help make daily decisions, using a wide range of technical tools. Identifying and extracting data from various data sources, including qualitative, structured and Big Data platforms.Working across the division to create and develop reports, highlighting relevant areas of interest for team managers and divisional management.Developing metrics to feed into the KPI architecture.Providing support to members of the division performing their own data analysis.Ensuring data quality and integrity through relevant data checks and controls.Liaising with the central Business Analytics team on companywide metrics and processes.Contributing to tools which will help automate processes within Production.Identifying potential improvements to the division through the use of data.Who we are looking for? The ideal candidate will at minimum have experience in the following areas: Passionate and logical analystWilling to embrace and learn about new technologies with one of the world's leading data driven companies.You will have a keen interest in analysing and presenting data,Have experience in using tools such as Excel, Tableau or Power BI.Why should you apply?Highly competitive compensation plus annual discretionary bonusInformal dress code and excellent work/life balanceComprehensive healthcare and life assurance25 days holidayContributory pension schemeCycle-to-work schemeSubsidised gym membershipMonthly company eventsCentral London office close to 5 stations and 6 tube lines",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst," FutureLearn Ltd – Londres, Angleterre","Londres, Angleterre",https://www.glassdoor.fr/partner/jobListing.htm?pos=208&ao=14295&s=58&guid=000001661ae9cb759e68c2f042c72caa&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c637852c&cb=1538049821798&jobListingId=2938214525,"Department: Data Science Reporting to: Lead Data Scientist Type of Contract: Permanent Working Pattern: Full Time Location: London, Camden. This is not a remote working position, and you must have the right to work in the UK. ABOUT FUTURELEARN FutureLearn is a leading social learning platform formed in December 2012 by The Open University and is now the largest online learning platform in Europe with over eight million people signed up worldwide. FutureLearn uses design, technology and partnerships to create enjoyable, credible and flexible online courses and postgraduate degrees that improve working lives. It partners with a quarter of the world’s top universities, as well as organisations such as Accenture, the British Council, CIPD, Raspberry Pi and the New York Institute of Finance.  Our vision is a global community, where everyone learns together and enjoys access to the education they need to transform their lives. Our award-winning platform helps by provoking conversation around the course material, so that learners and educators learn as much from each other as from the material itself.  We are continuing our expansion as we make this journey from offering short online courses, through micro credentials to full online degrees, and working with employers and governments to reduce skills gaps. The pace of this change is reflected in extremely rapid growth of our revenues. ABOUT THE ROLE As part of our expansion, we are also expanding our data-science team in order to increase and improve the support provided by them to the company. Currently the team counts two members and it is supported by data engineers and software developers across the company. As part of the data-science team you will be supporting the teams around the company with data analysis. The ideal candidate would be a data analyst with a background in search engine and pay-per-click marketing and data-driven keyword-betting strategies.  Specifically, your main objectives will be building up ready-to-use data sets, explore and analyse them with scientific methods, infer informative and meaningful insights, able to significantly contribute to the work and the decision-making process of the teams around the company. In particular, you will start working with our marketing team in their efforts to attract and engage more paying learners with our portfolio of short online courses. As part of FutureLearn you will be able to work within a stimulating, multidisciplinary, inclusive and diverse working environment that promotes collaboration, teamwork (AGILE framework), personal initiatives and career growth. KEY RESPONSIBILITIESData wrangling of pre-processed data stored in databasesData exploration, analysis and visualization / reportingUnderstanding, interpreting and communicating data-driven insights to the teamsEvaluating, recommending, and helping to make and implement insight-driven decisions, improvements and experimentsRecommending and helping to implement improvements to data collection, storage and processing to facilitate its analysisHelping to prioritise and respond to team requests of data and information according to the scope of the project (business, research, etc.)Requirements You must be: Numerate, statistics and data literate, with the ability to use the scientific methodSelf-sufficient with web analytics packagesCapable of extracting and manipulating large datasets stored in relational databasesCommercially aware, with the ability to understand and communicate key performance indicators and to translate findings into commercial insights and recommendationsKnowledge about marketing strategies and practices including search-engine and pay-per-click marketing and keyword-betting strategiesA good collaborator, with the ability to understand commercial (but not only) problems, challenge assumption where appropriate and work with people of different disciplines and backgrounds in a cross-functional teamA strong communicator, with the ability to draw out relevant conclusions for an audience and to present complex data simply and clearlyReliable, accurate, exhibiting attention to detail and robust understanding of caveats and scope limitationsOrganised, with the ability to prioritise tasks, manage your own projects and allocate your time according to business objectives. Essential technical skills: Knowledgeable in at least one of these languages/tools at intermediate level: SQL/PostgreSQL/PeriscopeGood knowledge of digital marketing tools, including Google AnalyticsKnowledgeable in at least one of these programming languages at intermediate level: Python (preferred), R, SPSS Desired professional competence: Data analysis within a marketing team at a digital product and/or commercial businessData analysis within a multidisciplinary working environmentBenefits£40k - £50k depending on experience28 days holiday (plus 8 days public holiday)Buy & sell up to 5 days holidayCharity day (volunteer for a charity of your choice)Cycle to work schemeSeason Ticket loanFlexible working environment/hoursPension (4% employer / employee contribution)OU Staff Fee Course Waiver ProgrammeGreat coffee, teas, fruit and daily breakfastPerkboxAPPLICATIONS FutureLearn is an equal opportunities organisation who value diversity, promote equality and challenge discrimination. We are especially keen to encourage applications from people currently under-represented, including those from the LGBT+ community, neurodiverse people, people with disabilities, and those from a Black, Asian or Minority Ethnic background. RECRUITMENT PROCESS Please contact jobs@futurelearn.com, if you require any reasonable adjustments or alterations to be made, to support you through the recruitment process. DIVERSITY STATEMENTWe value diversity at FutureLearn, and we do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, neurodiversity, marital or disability status.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst," Click – Londres, Angleterre","Londres, Angleterre",https://www.glassdoor.fr/partner/jobListing.htm?pos=209&ao=55801&s=58&guid=000001661ae9cb759e68c2f042c72caa&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_89c6787c&cb=1538049821799&jobListingId=2954358707," Data Analyst  An uprising financial organisation is looking for a Data Analyst to join their team based in central London. You will have the opportunity to be the first person in to help drive data and help the business make informed decisions.  The Data Analyst will be responsible for: Managing data structures and data governance;Support and help improve data integrity and quality;Provide data quality assessments and guidance for the team;Helping the business develop reporting structures, systems and analysis for business intelligence;Offering technical expertise on data mining, data cleansing and data storage structures;Assisting with new strategic decisions on new systems. Skills and experience needed from the Data Analyst: Demonstrable experience working with data in an Azure environment;Experience in processes and methodologies for managing large scale databases;Worked with stakeholders to asses potential risks;Ability to translate business requirements into no-technical terms;Experience in handling relational databases and large data sets;Provide software solution recommendations bases on the analysis of existing tools and databases;An understanding of addressing and metadata standards. This is a great chance to work in a fresh, start-up type feel and mentality organisation, where you will have the opportunity to receive training and to upskill. If you are interested in this Data Analyst role, please apply with your updated CV and I will be in touch shortly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Data Analyst," Zava – Londres, Angleterre","Londres, Angleterre",https://www.glassdoor.fr/partner/jobListing.htm?pos=210&ao=14295&s=58&guid=000001661ae9cb759e68c2f042c72caa&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_13557807&cb=1538049821800&jobListingId=2910256493,"At Zava we believe in giving people the power and confidence to treat the conditions society judges most. Every day we treat thousands of people across Europe who feel let down by the ‘old’ way of doing healthcare - phone calls, paper prescriptions, bureaucracy, waiting and worrying.We’ve built an online medical platform that connects patients with doctors, pharmacies and test laboratories - providing safe, efficient and non-judgemental care to over 1.5 million patients in 6 countries and counting. The Data Analyst - Product will ultimately be responsible for understanding, and helping others to understand, how to optimise our product for our users and the business.  They’ll create tools and dashboards that break down the key drivers of product performance in interpretable and actionable ways. They will help define our KPIs and end-to-end customer flows, and drive performance against them, by surfacing insights, supporting tactical decisions and influencing the product strategy with a compelling evidenced-based narrative that’s engaging to both technical and non-technical people alike.  Key Accountabilities Lead a collaborative problem-solving process to define meaningful, relevant and easily understood KPIs around product performanceBuild end-to-end product dashboards that bring these metrics to lifeHelp maintain our business intelligence tool (Looker) by adding new metrics in line with emerging areas of business interest and product developmentAnalyse changes in product usage and performance to generate insights and communicate these to stakeholdersCollaborate with others to carry out experiments that aim to improve product performanceInspire others to love and use data through effective storytellingPresent insights and opportunities in a clear manner such that product design is based on objective evidence wherever possibleContribute to hypothesis generation around new or existing feature ideas that could translate into real business valueCollaborate with other team members to better understand user behaviour through experimentation and testing. Provide support on A/B and multivariate testing and other best-practice analytical techniques during the feature development processIdentify tracking requirements to enable accurate reporting / measurement. Work with our developers to get these implemented in a timely mannerRequirementsStrong data wrangling skills. Able to work with sometimes messy data in software of their choosingAbility to work with raw data using SQLA deep understanding of cohort analysis, funnels, A/B testing, multivariate testing, lifetime value, user segments and other standard analytical techniquesExpert on KPIs, someone that knows the difference between vanity and actionable metricsAbility to create beautiful and informative charts to convey complex ideas quickly to a wider audienceStrong communication skills (written and verbal)Strong storytelling skillsStakeholder management And ideally: Experience with Looker, potentially as a LookML developerA good technical understanding of web based tracking tools such as SegmentBenefits ZAVA. TAKING CARE OF OUR PEOPLE  From doctors and developers, marketers and engineers, through to administrators and customer service specialists, at Zava we’re looking to grow our community of passionate professionals.  In return, we can offer you a range of unique benefits designed to help you learn, develop and fulfil your potential.  You’ll work with some of the smartest minds in the industry, and if you have a bright idea, we’ll all work with you to make it happen.  We also offer you access to private healthcare, childcare vouchers and a competitive salary, with share options in Zava and company-wide bonuses.  And you’ll get to work in a fun, collaborative environment, with a casual dress code, flexible working, and an open plan office set in a hub for culture and entertainment.  Oh, and did we mention, there’s free fruit and coffee on tap?  If you’re bright, entrepreneurial and want to make a real difference to the world’s health, we’d love to hear from you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
